Receptor,$\tau_\text{rise}$ (ms) (20-80% unless noted),$\sigma_\text{rise}$,10-90%?,$w_\text{fast}$,$\tau_\text{fast}$ (ms),$\sigma_\text{fast}$ (ms),$w_\text{slow}$,$\tau_\text{slow}$ (ms),$\sigma_\text{slow} (ms),Range,Neuron details,Source,Year
GABA-A-R,,,0,1,10.41,6.16,,,,,"IN, neocortex, somatosensory cortex, rat",Gupta,2000
GABA-A-R,,,0,1,8.3,2.2,,,,,"IN, neocortex, somatosensory cortex, rat",Gupta,2000
GABA-A-R,,,0,1,6.44,1.7,,,,,"IN, neocortex, somatosensory cortex, rat",Gupta,2000
GABA-A-R,0.58,0.02,0,0.333,6.4,0.4,0.667,22,3,,"sIPSC of pyramid neurons, visual cortex, rat",Xiang,1998
GABA-A-R,1.8,0.1,0,0.5,12,1,0.5,47,3,,"eIPSC of pyramid neurons, visual cortex, rat",Xiang,1998
GABA-A-R,0.61,0.02,0,0.28,6.5,0.6,0.72,49,4,,"IN sIPSC, visual cortex, rat",Xiang,1998
GABA-A-R,1.8,0.2,0,0.5,13,2,0.5,64,4,,"IN eIPSC, visual cortex, rat",Xiang,1998
GABA-A-R,,,0,0.768,1.6,0.1,0.232,11,2.3,,"BC-BC, dentate gyrus, hippocampus, rat",Bartos,2001
GABA-A-R,0.27,0.02,0,0.9,1.2,0.1,0.1,8,1.2,,"BC-BC, CA1, parvalbumin-EGFP mice",Bartos,2002
GABA-A-R,0.25,0.02,0,0.84,0.8,0.2,0.16,3.8,1,,"BC-BC, CA3, parvalbumin-EGFP mice",Bartos,2002
GABA-A-R,0.3,0.03,0,0.74,1,0.2,0.26,10,2.8,,"BC-BC, DG, parvalbumin-EGFP mice",Bartos,2002
GABA-A-R,0.2,0.01,0,0.81,1.4,0.2,0.19,9.3,1.7,,"BC-BC, DG, WT mice",Bartos,2002
